component	kappa	rho	variance explained	normalized variance explained	countsigFR2	countsigFS0	dice_FR2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	d_table_score_scrub	classification	rationale
186	7.394186	7.180657	0.034709	0.091809	0.000000	0.000000	0.000000	0.000000	5336	-1.527990	0.129484	1081		ignored	I008
187	7.393242	7.303409	0.039890	0.097296	0.000000	0.000000	0.000000	0.000000	5267	0.000000	0.000000	880		ignored	I008
188	7.391655	7.470407	0.040567	0.098049	53.000000	0.000000	0.000000	0.000000	5294	0.000000	0.000000	758		rejected	I002
189	7.386836	7.126600	0.036926	0.093337	0.000000	0.000000	0.000000	0.000000	5362	0.000000	0.000000	1004		ignored	I008
190	7.381792	7.428200	0.037335	0.096335	0.000000	0.000000	0.000000	0.000000	5404	0.000000	0.000000	1069		rejected	I002
191	7.381384	7.109258	0.037354	0.094661	0.000000	0.000000	0.000000	0.000000	5365	0.000000	0.000000	1007		ignored	I008
192	7.375375	7.184064	0.041037	0.104489	49.000000	0.000000	0.000000	0.000000	5095	-2.292557	0.022752	862		rejected	I005
193	7.367206	7.355415	0.038268	0.097464	0.000000	0.000000	0.000000	0.000000	5301	-0.018469	0.985340	999		ignored	I008
194	7.363412	7.188587	0.043704	0.107516	46.000000	0.000000	0.000000	0.000000	5391	0.000000	0.000000	932		ignored	I008
195	7.362246	7.297951	0.039026	0.096166	157.000000	0.000000	0.000000	0.000000	5208	-1.507508	0.134874	793		ignored	I008
196	7.361932	7.042795	0.037172	0.095380	0.000000	54.000000	0.000000	0.000000	5341	0.000000	0.000000	955		ignored	I008
197	7.353679	7.187765	0.039206	0.099070	0.000000	117.000000	0.000000	0.000000	5351	0.000000	0.000000	970		ignored	I008
198	7.353191	7.600019	0.042285	0.100256	0.000000	0.000000	0.000000	0.000000	5323	0.000000	0.000000	923		rejected	I002
199	7.352103	6.882423	0.033904	0.091425	0.000000	0.000000	0.000000	0.000000	5304	-0.609611	0.544829	1014		ignored	I008
200	7.351571	7.604478	0.039508	0.099779	0.000000	0.000000	0.000000	0.000000	5504	0.000000	0.000000	1108		rejected	I002
201	7.350941	7.259675	0.039808	0.098411	97.000000	118.000000	0.000000	0.000000	5262	0.816255	0.416307	593		rejected	I003
202	7.348088	7.304172	0.040584	0.097530	84.000000	0.000000	0.000000	0.000000	5363	0.000000	0.000000	832		ignored	I008
203	7.345684	6.798657	0.038616	0.097814	0.000000	0.000000	0.000000	0.000000	5352	0.000000	0.000000	970		ignored	I008
204	7.345079	6.898921	0.037500	0.095296	0.000000	0.000000	0.000000	0.000000	5431	0.000000	0.000000	1081		ignored	I008
205	7.344736	7.323034	0.042065	0.101369	56.000000	70.000000	0.000000	0.000000	5294	-2.060747	0.043389	886		rejected	I003;I005
206	7.341272	6.978008	0.035928	0.090383	0.000000	0.000000	0.000000	0.000000	5332	0.000000	0.000000	924		ignored	I008
